SMILES,MDR1,BCRP,MRP2
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,0,1,0
[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,1,1,0
COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,1,1,1
CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC(O)=C4CN(C)C)N=C13)C2=O,1,1,0
CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl,0,1,0
COC1=C2OC3=CC=C(C[C@@H]4N(C)CCC5=CC(OC)=C(OC6=C7[C@H](CC(C=C1)=C2)N(C)CCC7=CC(OC)=C6OC)C=C45)C=C3,0,0,0
COC1=CC=CC2=C1C(=O)C1=C(C(O)=C3C[C@](O)(C[C@H](O[C@H]4C[C@H](O)[C@H](O)[C@H](C)O4)C3=C1O)C(=O)CO)C2=O,1,0,0
COC1=C(OC)C2=C[N+]3=C(C=C2C=C1)C1=C(CC3)C=C2OCOC2=C1,1,0,0
FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1,1,0,0
CC1(C)CC(CC(C)(C)N1)NC1=CC=C(NC2=CC=CC=C2)C=C1,0,0,0
CN(C(C)=O)C1=CC=C(NC2=C3C4=C(NC=N4)C=CC3=NC(C)=C2)C=C1,1,0,0
NC1=CC=C(C=C1)C(C1=CC=C(N)C=C1)=C1C=CC(=N)C=C1,1,0,0
CC=C1/NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,1,0,0
CC(=O)C1C(=O)C=C2OC3=C(C(O)=C(C)C(O)=C3C(C)=O)C2(C)C1=O,0,0,0
CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC1N(CCC2=C1C=C(OC)C(OC)=C2)C(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)OC(C)(C)C,0,0,0
C(N1CCC2=C(C1)C1=CC=CC=C1N2)C1=CC=CC=C1,0,0,0
CC1C2C=C(C3COC(=O)C(=C)C23C=C1C)C(O)=O,0,0,0
CN(C)C(=S)SN(C)C(=O)NC1=CC=CC=C1,0,0,0
CCOC(=O)CNC(=O)N(CC)C12CC3CC(CC(C3)C1)C2,0,0,0
C[C@H]1[C@H]2[C@H](CC3=CC=CC=C3)NC(=O)[C@@]22[C@@H](C=CC[C@H](C)C(=O)[C@](C)(O)C=C[C@H]2OC(C)=O)[C@H](O)C1=C,0,0,0
OCC1=C(CO)C(=O)C2=C(C(O)=CC=C2O)C1=O,0,0,0
COC1=CC(O)=C(CC2=CC=CC=C2O)C(O)=C1C(=O)CCC1=CC=CC=C1,0,0,0
CC1OC(CC(N)C1O)OC1CC(O)(CC2=C1C(O)=C1C(=O)C3=C(C=CC=C3OCC3=CC=CC=C3)C(=O)C1=C2O)C(C)=O,0,0,0
NCC1=CC=C(O)C(O)=C1O,0,0,0
COC1=C(Cl)C(OC)=C(Cl)C(=N1)C(Cl)(Cl)Cl,0,0,0
CN1C=C(C=C(C(C)=O)C(C)=O)C(=O)N(C)C1=O,0,0,0
COC1=C(O)C(=CC=C1)[C@@H]1[C@@H](C)[C@H](OC2=C1C=C1OCOC1=C2)N1CCCC1,0,0,0
CN1C2=CC=CC=C2C(=O)C2=C(O)C=C3OC(CC3=C12)C1(C)CO1,0,1,0
CC(=O)OC1=C(OC(C)=O)C=C2OCC(CC2=C1)C1=CC=C(C)C=C1,0,0,0
COC1=C(OC)C=C(C=C1)C1COC2=C(C1)C=CC(O)=C2C,0,0,0
COC1=C2C(CO)N3C(CC2=CC=C1)C1C(CC(C3C#N)N1C)C(O)=O,0,0,0
CC1=CC=CC=C1[C@@H]1CC2(CC(=C)C(=O)O2)C[C@H](O1)C1=CC=CC=C1C,0,0,0
CC1OC(C=C(OC(C)=O)C1=O)N1C=C(F)C(=O)NC1=O,0,0,0
O=C1C=CC(=O)C2=C1C=CC(=O)C=C2,0,1,1
OC(=O)C(Cl)=C(Cl)C(=O)NC1=CC=CC(Cl)=C1,0,1,1
FC1=CC=C(C=C1)N1C(=O)C(Cl)=C(Cl)C1=O,0,1,1
COC(=O)C1C(C(=O)OC)C(C(=O)OC)(C(=O)OC)C(C(=O)OC)=C(C(=O)OC)C(C(=O)OC)=C1C(=O)OC,0,0,1
CC(=O)NC=CC1=CC(O)=CC=C1O,0,0,0
CC(C)(C)C1=NC2=C(O1)C(=NC1=CC=C(F)C=C1)C1=C(C=CC=C1)C2=O,0,0,0
COC1=CC(=O)C2=C(O)C3=C(C=C(C)OC3O)C(O)=C2C1=O,0,0,0
CN(C)C1=CC=C(C=C1)N=C1/C=CC(=C(C#N)C#N)C2=C1C=CC=C2,0,0,0
O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC1=CON=C21,0,0,1
CN(N=CC1=CC=CC2=CC=CN=C12)C1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O,0,0,0
COC(=O)[C@]12C(COC(C)=O)C=C3O[C@@H]4OC5(CCCCC5)O[C@@H]4C3[C@H]1C(=O)C=CC2=O,0,0,1
O=C1C=CC(=O)C2=C1C=CC(=O)C(SC1=CC=CC=C1)=C2,0,1,1
CCCCCCCCCCCCCCCC(=O)OCC1OC(OC)C2NP(=O)(OC1C2O)N(CCCl)CCCl,0,0,1
[O-][N+](=O)C1=CC2=NC3=CC=CC=C3C(NC3=CC=CC=C3C3=CC=CC=C3NC3=C4C=CC=CC4=NC4=CC(=CC=C34)[N+]([O-])=O)=C2C=C1,0,0,0
CN1C(O)=C(C(=O)NC2=CC=C(C=C2)[N+]([O-])=O)C(=O)N(C)C1=S,0,0,0
C[C@@]1(C[C@H](O)[C@H]2[C@H](OC(=O)C2=C)[C@@H]1C(=C)C=O)C=C,0,0,0
COC1=CC=C2C(=O)C(=COC2=C1)C1=CC(OC)=C(OC)C=C1OC,0,0,0
CN1C2=CC=CC=C2C2=C(C)C=C3C(=O)C=CC(=O)C3=C12,0,0,1
CN1C2=CC=CC=C2C2=CC(C3=CC=CC=C3)=C3C(=O)C=CC(=O)C3=C12,0,0,1
COC1=CC(CC2=CC(O)=C(OC)C=C2)=CC(OC)=C1OC,0,0,0
CCCCCCCCCC=C1CCC(CN2CCOCC2)C1=O,0,0,1
COC1=C(OC)C=C(C=C1)C1=CN2CCC[C@H]2C=C1C1=CC(OC)=C(OC)C(O)=C1,0,0,0
COC1=CC(CNC2=CC=C(SC)C=C2)=CC(OC)=C1OC,0,0,0
COC1=CC(=CC(OC)=C1)C1=CC(=O)C2=CC3=C(OCO3)C=C2N1,0,0,0
OC1=CC=C(C(=O)C=CC2=CC=C(O)C(O)=C2)C(O)=C1,0,0,0
CC1=C(C)C=C2N=C(SC2=C1)C=C(C(F)(F)F)C(F)(F)F,0,0,1
C[C@H]1[C@H](OC2=C(C=C3OCOC3=C2)[C@@H]1C1=CC2=C(OCO2)C=C1)N1CCOCC1,0,0,0
CN(C)C1=CC(C=C(/C#N)C2=CC=CC=C2)=CC=C1,0,0,0
CC(=O)C1=C(OC(=O)C2=CC=C(Cl)C=C2Cl)C2=C(S1)N(C(=S)N(C2=O)C1=CC=CC=C1)C1=CC=CC=C1,0,0,0
CCN(CC)[C@H]1OC2=C(C=C3OCOC3=C2)[C@@H]([C@H]1C)C1=CC(OC)=C(O)C(OC)=C1,0,0,0
COC1=CC=C2NC=C(C3C4CCC(C4)C3NCC3=CC(CNC4C5CCC(C5)C4C4=CNC5=CC=C(OC)C=C45)=CC=C3)C2=C1,0,0,0
OC1=CC=C(Br)C(C=O)=C1,0,0,0
COC1=CC=C(Br)C(C=NC2=CC=CC3=CC(OC)=C(OC)C=C23)=C1,0,0,0
CCCC(=O)OC1=C2C=CSC2=C(OC(=O)CCC)C2=C1SC=C2,0,0,0
[O-][N+](=O)C(F)(CN(COCN(CC(F)([N+]([O-])=O)[N+]([O-])=O)CC(F)([N+]([O-])=O)[N+]([O-])=O)CC(F)([N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,0,0,0
CCN1C(=O)C2=CC=CC=C2N=C1SCC1=NN=C(NC2=CC=CC=C2)S1,0,0,0
CCOC1=CC2=C(CC[C@H]3[C@@H]4CC[C@H](N)[C@@]4(C)CC[C@H]23)C=C1O,0,0,0
ClC1=CC=C(C=C2/CN(CC(=C/C3=CC=C(Cl)C=C3)C2=O)C(=O)C=C)C=C1,0,0,0
FC1=CC=C(C=C2/CN(CC(=C/C3=CC=C(F)C=C3)C2=O)C(=O)C=C)C=C1,0,0,0
COC1=C(OC)C(OC)=C2NC(=CC2=C1)C(=O)N1CC(CCl)C2=C1C=C(NCCN)C=C2,0,0,0
CC(OC(C)=O)C1=CC2=C(S1)C(=O)C1=C(C(=CS1)C(C)OC(C)=O)C2=O,0,0,0
CN1CCN(CC1)C1=C2C(=O)C3=CC=CC=C3NC2=C(Cl)C=C1Cl,0,0,1
[O-][N+](=O)C1=CC=CC2=NC3=CC=CC=C3C(NCCCCCNC3=C4C(C=CC=C4[N+]([O-])=O)=NC4=CC=CC=C34)=C12,0,0,0
[O-][N+](=O)C1=CC=C2N3C4=CC=CC=C4NC3=C(C#N)C(=O)C2=C1,0,0,0
COC1=C(OC)C=C(C=C1)C1=NC(N)=C(C#N)C2=C1CCSC1=CC=C(C)C=C21,0,0,1
FC(F)(F)C1=CC(=CC(=C1)N1C(=O)N=NC1=O)C(F)(F)F,0,0,0
COC1=CC=C2N=C3C(=CC=C4N(CCCN(C)C)C(=S)N(CCCN(C)C)C(C2=C1)=C34)[N+]([O-])=O,0,0,0
COC(=O)C1=C(N(C(=CC1C1=CC=C(OC)C=C1OC)C1=CC=C(C)C=C1)C1=CC=C(OC)C=C1[N+]([O-])=O)C(=O)OC,0,0,0
COC(=O)C1=C(N(C(=CC1C1=CC=C(OC)C=C1OC)C1=CC=C(C)C=C1)C1=CC=C(OC)C=C1[N+]([O-])=O)C(=O)NC1=CC=CN=C1Cl,0,0,1
CC(=O)OC1CCC2(C)C3CCC4(C)NC5=C(CC4C3CC=C2C1)C=NN5C1=CC=C(F)C=C1,0,0,0
CN(C)CCNC(=O)C1=CC=CC2=C(NCCN(C)C)C3=CC=CC(C)=C3N=C12,0,0,0
COC1=C(OC)C=C2C(CCN3C(=O)C4=CC(OC)=C(OC)C=C4C=C23)=C1,0,0,0
O=C1CC(SC2=CC=CC=C2)C2(OCCO2)C(C1)SC1=CC=CC=C1,0,1,1
CCOC(=O)C=C(N1C=CC(=O)N(CC2=CN=NN2COCCOC(C)=O)C1=O)C(=O)OCC,0,1,0
NC1=NC(NCC2(CO)CC(CCCCC3=CC=CC=C3)C2)=C(N)C(Cl)=N1,0,0,0
OC1=CC=C2C=CC=CC2=C1OCC1=NN=C(CCCCCCCCC2=NN=C(COC3=C4C=CC=CC4=CC=C3O)N2NC2=CC=CC=C2)N1NC1=CC=CC=C1,0,0,0
C[C@H](CCCC(C)=O)[C@@H]1O[C@@H](C[C@H]2[C@H](CSC3=CC=CC=C3)C(=O)O[C@@H]12)[C@]1(C)CCC(=O)O1,0,1,0
CC(SC1=CC=C(Cl)C=C1)C=CCC1=NC(N)=NN=C1C,0,1,0
NS(=O)(=O)C1=NN2C(S1)=NC(=C2Br)C1=CC=CC=C1,0,0,0
CC(=O)NCCCCCCNC(C)=O,0,0,0
CO[C@H]1C[C@@](C)(O)[C@H](C(=O)OC)C2=C1C(O)=C1C(=O)C3=C(O)C=C4C(O[C@@H]5O[C@@]4(C)[C@H](O)[C@H]([C@@H]5O)N(C)C)=C3C(=O)C1=C2,1,0,0
CC[C@@H](C)[C@@H]1N[C@H]2C=CC3=C(N=C(C=C3[C@H](C)O)C(=O)O[C@H](C)[C@H]3NC(=O)C4=CSC(=N4)[C@@H](NC(=O)[C@@H]4CSC(=N4)C(NC(=O)[C@@H](NC(=O)C4=CSC(=N4)[C@@]4(CCC(=N[C@@H]4C4=CSC3=N4)C3=NC(=CS3)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC1=O)[C@H](C)O)=CC)[C@](C)(O)[C@H](C)O)[C@H]2O,1,0,0
COC1=CC2=C(C=C1OC1=C(OC3=C4C(CC(C)C)N(C)CCC4=CC(OC)=C3O)C(OC)=CC3=C1C(CC(C)C)N(C)CC3)C(CC(C)C)N(C)CC2,1,0,0
CC(C)C1=C2[C@H](O)[C@@H]3OC(=O)[C@]4(C)[C@H]3[C@](C)([C@@H]3O[C@@H]3[C@@H]4O)C2=CC(=O)O1,1,0,0
CCC(C)C1NC(=O)C(NC(=O)C2=C3N=C4C(OC3=C(C)C=C2)=C(C)C(=O)C(O)=C4C(=O)NC2C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(NC2=O)C(C)CC)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O,1,0,0
CO[C@@H]1[C@H](C)O[C@H](O[C@H]2C[C@@](C)(O)CC3=C2C(O)=C2C(=O)C4=C(C(=O)C2=C3)C2=C(C=C4O)[C@@]3(C)O[C@@H](O2)[C@@H](O)[C@@H]([C@@H]3O)N(C)C)[C@H](OC)[C@@]1(C)OC,1,0,0
C1OC2=C(O1)C=C1C(=C2)C=[N+]2CCC3=C2C1=CC=C3,1,0,0
CC1=C2C=CC3=CC=CC=C3C2=C[N+]2=CC=CC=C12,1,0,0
COC1=CC2=C(C(O)=C1O)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O,1,0,0
OCCNCCNC1=CC=CC2=C1C(=O)C1=C(C2=O)C(NCCNCCO)=CC=C1,1,0,0
COC1=CC=C2N=CC=C(NCCCN3CCN(CCCNC4=CC=NC5=CC=C(OC)C=C45)CC3)C2=C1,1,0,0
COC1=CC2=C(C(OC(C)=O)=C1OC(C)=O)C1=CC=C(SC)C(=O)C=C1[C@H](CC2)NC(C)=O,1,0,0
COC1=C(OC(C)=O)C(OC(C)=O)=CC2=C1C1=CC=C(SC)C(=O)C=C1[C@H](CC2)NC(C)=O,1,0,0
CO[C@H]([C@@H]1CC2=C(C(=O)[C@H]1O[C@H]1C[C@H](O[C@H]3C[C@H](O[C@@H]4C[C@](C)(O)[C@H](OC(=O)C(C)C)[C@H](C)O4)[C@H](O)[C@H](C)O3)[C@H](O)[C@H](C)O1)C(O)=C1C(O)=CC(O[C@@H]3C[C@H](OC(C)=O)[C@H](O[C@@H]4C[C@H](O)[C@H](OC)[C@H](C)O4)[C@H](C)O3)=CC1=C2)C(=O)[C@@H](O)[C@H](C)O,1,0,0
CC1=[N+](C2=C(N1CC1=CC=C(C=C1)[N+]([O-])=O)C(=O)C1=C(C=CC=C1)C2=O)C1=CC=CC=C1,1,0,0
CCC(C)SC1SCC2N(C)C(=O)C(C)NC(=O)C(COC(=O)C3(CC3C)N(C)C(=O)C1N(C)C(=O)C(C)NC(=O)C(COC(=O)C1(CC1C)N(C)C2=O)NC(=O)C1=C(O)C=C2C=CC=CC2=N1)NC(=O)C1=C(O)C=C2C=CC=CC2=N1,1,0,0
CC[N+]1=C2C=CC(NC(=O)C=CC3=CC=CC=C3)=CC2=CC=C1C=CC1=CC=C(C=C1)N(CCCl)CCCl,1,0,0
CCOC1N(C)C2=C3C=CC=CC3=CC=C2C2=C1C=C(OC)C(OC)=C2,1,0,0
OCCN(CCO)CCNC1=C2C(C=CC=C2[N+]([O-])=O)=NC2=CC=CC=C12,1,0,0
COC1=CC(=CC(OC)=C1O)[C@H]1N2[C@H](COC2=O)[C@H](NC2=CC=C(C=C2)[N+]([O-])=O)C2=C1NC1=CC=CC=C21,1,0,0
OCCO[P+]1(OCCO)N2C3=CC=C2C(=C2C=CC(=N2)C(=C2C=CC(N12)=C(C1=NC(C=C1)=C3C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,1,0,0
C[C@H](CCC1=NC(C#N)=C(N)O1)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,1,0,0
C1CN=C(NN=CC=CC2=CC=C(C=C2)C2=CN3C=C(C=CC=NNC4=NCCN4)C=CC3=N2)N1,1,0,0
CN(C)CCN1C(=O)N2C3=CC=C(O)C=C3C(=O)C3=C2C(=CC=C3NCCNCCO)C1=O,1,0,0
CC(C)(C)OC(=O)CN1CCN(CC(=O)N2CCN(CC2)C(=O)OCC2=CC=CC=C2)CCN(CC(=O)OC(C)(C)C)CCN(CC(=O)N2CCN(CC2)C(=O)OCC2=CC=CC=C2)CC1,1,0,0
CC(C)C[N+]1=C(C)N(C)C2=C1C(=O)C1=C(C=CC=C1)C2=O,1,0,0
CC(C)[N+]1=C(C=CC2=CC=CC=C2)N(C)C2=C1C(=O)C1=C(C=CC=C1)C2=O,1,0,0
CC1=C(C=CC(=C1)N=NC1=C2C=CC=CC2=CC=C1O)N=NC1=CC(=CC=C1)[N+](C)(C)C,1,0,0
CCC1=C[C@@H]2CN3CCC4=C(NC5=CC=CC=C45)[C@@](C2)([C@@H]13)C(=O)OC,1,0,0
COC1=CC(C[C@@H]2N(C)CCC3=CC(OC)=C(OC)C=C23)=C(OC2=CC3=C(C=C2OC)C2=C(OC)C(OC)=CC4=C2[C@H](C3)N(C)CC4)C=C1OC,0,0,0
C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,0,0,0
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O,0,0,0
CN(C)CCCNC1=CC=C2N=NN3C2=C1C(=O)C1=CC(O)=CC=C31,0,1,0
CCN(CC)CCNC1=CC=C2N=CN3C2=C1C(=O)C1=CC(O)=CC=C31,0,1,0
COC1=CC=C(NC(=S)NN=C2/C(=O)NC3=C2C=C(Cl)C=C3Cl)C=C1,0,1,0
CCN(CC)CCCNC1=CC=C2N=C(C)N3C2=C1C(=O)C1=CC(O)=CC=C31,0,1,1
CN(C)CCNC1=CC=C2N=CN3C2=C1C(=O)C1=CC(O)=CC=C31,0,1,0
CN(C)CCCNC1=CC=C2N=CN3C2=C1C(=O)C1=CC(O)=CC=C31,0,1,0
CN(C)CCNC1=CC=C2N=C(C)N3C2=C1C(=O)C1=CC=CC=C31,0,0,0
CCN(CC)CCNC1=CC=C2N=CN3C2=C1C(=O)C1=CC(OC)=CC=C31,0,0,0
COC1=CC(C)=C2C(=O)C3=C(O)C4=C(C(O)=C3OC2=C1)C(=O)C(OC)=CC4=O,0,1,0
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,1,0,1
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,,1,1
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,,1,1
[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,1,1,1
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,1,,
[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,1,1,
CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,1,,
[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,1,1,1
CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,1,,1
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,1,0,1
CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,,
COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,1,0,
CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,0,,1
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,1,,
[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,1,,1
CC(=O)NC1=CC=C(O)C=C1,1,,
COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,1,1,
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,1,,1
CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,1,,
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,1,,
NC1=CC=C(C=C1)C(=O)NCC(O)=O,,,1
CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,1,1,1
